3.2e-05
ADC1,ADC2,ADC3,ADC4,ADC5
1897.0,21.0,23.0,26.0,2077.0
1900.0,20.0,22.0,26.0,2083.0
1903.0,20.0,22.0,25.0,2088.0
1908.0,20.0,22.0,25.0,2094.0
1910.0,20.0,22.0,25.0,2099.0
1914.0,21.0,23.0,26.0,2105.0
1918.0,21.0,23.0,26.0,2110.0
1921.0,20.0,22.0,25.0,2115.0
1925.0,20.0,22.0,25.0,2120.0
1929.0,20.0,22.0,24.0,2126.0
1933.0,21.0,23.0,25.0,2131.0
1938.0,20.0,22.0,25.0,2136.0
1942.0,20.0,22.0,24.0,2140.0
1947.0,20.0,22.0,25.0,2145.0
1952.0,20.0,22.0,24.0,2150.0
1958.0,20.0,22.0,25.0,2155.0
1962.0,20.0,22.0,25.0,2158.0
1966.0,20.0,22.0,24.0,2163.0
1971.0,19.0,21.0,24.0,2168.0
1976.0,20.0,21.0,24.0,2171.0
1981.0,20.0,22.0,25.0,2175.0
1987.0,20.0,22.0,24.0,2180.0
1993.0,20.0,22.0,24.0,2183.0
1997.0,19.0,22.0,24.0,2187.0
2002.0,19.0,21.0,24.0,2190.0
2008.0,20.0,22.0,24.0,2194.0
2014.0,19.0,22.0,24.0,2198.0
2018.0,19.0,21.0,24.0,2200.0
2025.0,19.0,21.0,24.0,2203.0
2030.0,19.0,21.0,24.0,2207.0
2035.0,20.0,22.0,24.0,2208.0
2036.0,18.0,21.0,22.0,2206.0
2044.0,18.0,20.0,22.0,2211.0
2049.0,18.0,20.0,21.0,2212.0
2055.0,18.0,20.0,21.0,2215.0
2061.0,18.0,20.0,21.0,2217.0
2067.0,17.0,20.0,21.0,2219.0
2072.0,17.0,19.0,21.0,2221.0
2078.0,17.0,20.0,21.0,2222.0
2083.0,18.0,20.0,22.0,2222.0
2089.0,18.0,20.0,22.0,2223.0
2093.0,18.0,20.0,21.0,2223.0
2099.0,18.0,20.0,22.0,2224.0
2104.0,17.0,19.0,21.0,2225.0
2112.0,18.0,21.0,22.0,2228.0
2115.0,18.0,20.0,22.0,2226.0
2119.0,18.0,20.0,22.0,2225.0
2124.0,18.0,20.0,22.0,2225.0
2130.0,18.0,20.0,22.0,2225.0
2135.0,18.0,20.0,22.0,2224.0
2139.0,18.0,20.0,22.0,2224.0
2144.0,19.0,21.0,23.0,2224.0
2149.0,19.0,21.0,23.0,2223.0
2153.0,18.0,20.0,22.0,2221.0
2158.0,19.0,21.0,24.0,2221.0
2163.0,19.0,21.0,23.0,2220.0
2166.0,19.0,21.0,24.0,2218.0
2169.0,19.0,21.0,23.0,2216.0
2174.0,19.0,21.0,23.0,2214.0
2177.0,19.0,22.0,24.0,2210.0
2181.0,19.0,21.0,23.0,2208.0
2186.0,18.0,20.0,23.0,2204.0
2189.0,18.0,20.0,23.0,2202.0
2192.0,19.0,21.0,23.0,2199.0
2195.0,19.0,21.0,23.0,2195.0
2199.0,19.0,21.0,23.0,2194.0
2200.0,19.0,21.0,23.0,2189.0
2203.0,18.0,21.0,23.0,2185.0
2211.0,19.0,21.0,23.0,2187.0
2208.0,18.0,21.0,22.0,2177.0
2210.0,19.0,21.0,23.0,2173.0
2212.0,18.0,21.0,23.0,2169.0
2214.0,18.0,20.0,23.0,2164.0
2215.0,18.0,20.0,23.0,2159.0
2217.0,19.0,21.0,23.0,2155.0
2219.0,19.0,21.0,23.0,2151.0
2219.0,18.0,20.0,22.0,2145.0
2222.0,19.0,21.0,23.0,2143.0
2223.0,18.0,20.0,22.0,2137.0
2223.0,19.0,21.0,23.0,2132.0
2224.0,19.0,21.0,23.0,2127.0
2224.0,19.0,21.0,23.0,2123.0
2224.0,18.0,20.0,22.0,2118.0
2224.0,18.0,20.0,22.0,2112.0
2223.0,18.0,20.0,22.0,2107.0
2224.0,19.0,21.0,23.0,2102.0
2223.0,19.0,21.0,23.0,2096.0
2222.0,18.0,20.0,22.0,2089.0
2221.0,18.0,21.0,23.0,2084.0
2219.0,19.0,21.0,23.0,2078.0
2219.0,18.0,20.0,22.0,2073.0
2217.0,18.0,21.0,23.0,2067.0
2215.0,18.0,20.0,22.0,2060.0
2214.0,18.0,21.0,23.0,2055.0
2211.0,18.0,21.0,23.0,2050.0
2210.0,19.0,21.0,23.0,2043.0
2208.0,19.0,21.0,23.0,2039.0
2205.0,18.0,20.0,22.0,2032.0
2203.0,19.0,21.0,23.0,2026.0
2199.0,19.0,21.0,23.0,2020.0
2196.0,19.0,21.0,23.0,2015.0
2192.0,19.0,21.0,23.0,2009.0
2189.0,18.0,20.0,22.0,2004.0
2187.0,19.0,21.0,23.0,1999.0
2182.0,19.0,21.0,24.0,1992.0
2179.0,20.0,21.0,24.0,1988.0
2175.0,19.0,21.0,23.0,1981.0
2170.0,19.0,21.0,24.0,1975.0
2166.0,20.0,22.0,24.0,1969.0
2161.0,19.0,22.0,24.0,1964.0
2157.0,19.0,21.0,24.0,1959.0
2152.0,19.0,21.0,24.0,1954.0
2148.0,19.0,21.0,23.0,1950.0
2142.0,20.0,22.0,25.0,1944.0
2137.0,19.0,22.0,24.0,1940.0
2132.0,19.0,21.0,24.0,1935.0
2127.0,19.0,21.0,23.0,1930.0
2121.0,18.0,20.0,23.0,1925.0
2116.0,19.0,21.0,24.0,1920.0
2110.0,19.0,21.0,23.0,1915.0
2105.0,19.0,21.0,23.0,1912.0
2099.0,19.0,21.0,23.0,1907.0
2093.0,18.0,21.0,23.0,1904.0
2087.0,19.0,21.0,23.0,1901.0
2082.0,19.0,21.0,23.0,1897.0
2075.0,19.0,21.0,23.0,1893.0
2070.0,19.0,21.0,23.0,1891.0
2064.0,18.0,20.0,22.0,1888.0
2058.0,19.0,21.0,23.0,1885.0
2052.0,18.0,20.0,22.0,1882.0
2045.0,18.0,21.0,22.0,1880.0
2040.0,18.0,20.0,22.0,1878.0
2034.0,18.0,20.0,22.0,1875.0
2027.0,18.0,20.0,22.0,1872.0
2022.0,18.0,20.0,22.0,1872.0
2016.0,18.0,20.0,22.0,1871.0
2010.0,18.0,20.0,22.0,1870.0
2005.0,18.0,20.0,21.0,1870.0
2002.0,18.0,20.0,22.0,1873.0
1993.0,17.0,20.0,21.0,1868.0
1987.0,17.0,20.0,21.0,1867.0
1981.0,17.0,20.0,21.0,1867.0
1975.0,17.0,19.0,21.0,1867.0
1969.0,18.0,20.0,21.0,1866.0
1965.0,18.0,20.0,21.0,1868.0
1959.0,18.0,20.0,21.0,1869.0
1953.0,18.0,20.0,21.0,1869.0
1949.0,18.0,20.0,21.0,1871.0
1944.0,17.0,20.0,21.0,1872.0
1939.0,17.0,20.0,21.0,1873.0
1935.0,17.0,20.0,21.0,1875.0
1936.0,17.0,19.0,20.0,1882.0
1927.0,17.0,19.0,20.0,1880.0
1921.0,17.0,19.0,20.0,1880.0
1918.0,17.0,20.0,21.0,1883.0
1913.0,17.0,19.0,21.0,1885.0
1909.0,17.0,19.0,20.0,1888.0
1906.0,17.0,19.0,20.0,1890.0
1902.0,17.0,19.0,21.0,1894.0
1902.0,17.0,20.0,21.0,1900.0
1896.0,17.0,19.0,21.0,1900.0
1894.0,17.0,19.0,21.0,1904.0
1889.0,17.0,19.0,20.0,1906.0
1886.0,17.0,20.0,21.0,1910.0
1884.0,17.0,19.0,21.0,1914.0
1881.0,17.0,20.0,21.0,1918.0
1879.0,17.0,19.0,21.0,1923.0
1876.0,18.0,20.0,21.0,1927.0
1875.0,18.0,20.0,21.0,1932.0
1873.0,18.0,20.0,21.0,1937.0
1872.0,18.0,20.0,21.0,1942.0
1870.0,17.0,19.0,21.0,1946.0
1869.0,18.0,20.0,21.0,1950.0
1869.0,18.0,20.0,21.0,1955.0
1869.0,17.0,20.0,21.0,1960.0
1867.0,17.0,20.0,21.0,1965.0
1866.0,17.0,19.0,20.0,1970.0
1866.0,18.0,20.0,21.0,1975.0
1866.0,18.0,20.0,21.0,1981.0
1866.0,17.0,19.0,21.0,1987.0
1867.0,17.0,20.0,21.0,1991.0
1868.0,17.0,19.0,21.0,1997.0
1868.0,17.0,20.0,21.0,2004.0
1869.0,17.0,19.0,21.0,2008.0
1869.0,17.0,19.0,21.0,2014.0
1871.0,17.0,19.0,21.0,2020.0
1872.0,17.0,19.0,20.0,2025.0
1873.0,17.0,19.0,21.0,2031.0
1876.0,17.0,19.0,21.0,2037.0
1878.0,17.0,19.0,20.0,2042.0
1880.0,17.0,20.0,21.0,2048.0
1882.0,17.0,19.0,21.0,2054.0
1885.0,17.0,20.0,21.0,2060.0
1888.0,17.0,19.0,21.0,2066.0
1890.0,17.0,19.0,21.0,2073.0
1892.0,17.0,20.0,21.0,2078.0
1895.0,17.0,19.0,20.0,2083.0
1898.0,17.0,20.0,21.0,2089.0
1902.0,17.0,19.0,21.0,2095.0
1906.0,17.0,19.0,21.0,2101.0
1910.0,17.0,19.0,20.0,2106.0
1913.0,17.0,19.0,20.0,2111.0
1917.0,17.0,19.0,20.0,2117.0
1921.0,17.0,19.0,20.0,2123.0
1925.0,17.0,19.0,21.0,2128.0
1930.0,17.0,19.0,21.0,2134.0
1935.0,17.0,19.0,21.0,2138.0
1938.0,17.0,19.0,20.0,2142.0
1943.0,17.0,19.0,20.0,2147.0
1948.0,17.0,19.0,21.0,2152.0
1952.0,16.0,19.0,20.0,2156.0
1956.0,17.0,19.0,20.0,2160.0
1962.0,17.0,19.0,21.0,2166.0
1968.0,17.0,19.0,21.0,2170.0
1973.0,17.0,19.0,20.0,2173.0
1978.0,16.0,19.0,20.0,2178.0
1983.0,18.0,20.0,21.0,2182.0
1988.0,17.0,19.0,20.0,2185.0
1994.0,17.0,20.0,21.0,2190.0
1999.0,17.0,19.0,20.0,2193.0
2005.0,17.0,19.0,20.0,2197.0
2009.0,18.0,20.0,21.0,2200.0
2016.0,18.0,19.0,21.0,2204.0
2024.0,17.0,20.0,21.0,2210.0
2027.0,17.0,19.0,20.0,2210.0
2032.0,17.0,20.0,21.0,2214.0
2038.0,18.0,20.0,22.0,2216.0
2043.0,18.0,19.0,21.0,2218.0
2049.0,18.0,20.0,21.0,2220.0
2055.0,18.0,19.0,21.0,2223.0
2061.0,17.0,20.0,21.0,2224.0
2067.0,18.0,20.0,22.0,2227.0
2072.0,18.0,20.0,22.0,2228.0
2075.0,17.0,19.0,21.0,2227.0
2082.0,18.0,20.0,22.0,2230.0
2088.0,18.0,20.0,22.0,2232.0
2094.0,18.0,20.0,22.0,2233.0
2099.0,17.0,19.0,21.0,2234.0
2103.0,17.0,20.0,21.0,2234.0
2109.0,17.0,20.0,21.0,2235.0
2115.0,17.0,20.0,21.0,2236.0
2121.0,20.0,23.0,26.0,2237.0
2127.0,22.0,24.0,28.0,2238.0
2140.0,23.0,25.0,29.0,2244.0
2139.0,22.0,24.0,28.0,2238.0
2144.0,23.0,24.0,29.0,2236.0
2148.0,23.0,25.0,29.0,2235.0
2153.0,23.0,25.0,29.0,2234.0
2157.0,22.0,24.0,28.0,2233.0
2162.0,22.0,24.0,28.0,2232.0
2168.0,22.0,24.0,28.0,2233.0
2171.0,22.0,24.0,28.0,2229.0
2174.0,22.0,23.0,27.0,2226.0
2178.0,22.0,24.0,28.0,2225.0
2182.0,22.0,24.0,29.0,2223.0
2186.0,22.0,24.0,28.0,2220.0
2189.0,22.0,23.0,27.0,2217.0
2192.0,21.0,23.0,27.0,2214.0
2196.0,22.0,24.0,27.0,2211.0
2199.0,22.0,23.0,28.0,2208.0
2202.0,21.0,23.0,27.0,2205.0
2206.0,21.0,23.0,27.0,2203.0
2208.0,21.0,23.0,27.0,2199.0
2210.0,21.0,23.0,26.0,2195.0
2213.0,20.0,23.0,26.0,2191.0
2214.0,21.0,23.0,27.0,2187.0
2217.0,21.0,23.0,27.0,2183.0
2221.0,22.0,24.0,28.0,2180.0
2221.0,22.0,23.0,27.0,2174.0
2223.0,21.0,23.0,27.0,2171.0
2225.0,21.0,23.0,27.0,2166.0
2225.0,21.0,23.0,27.0,2160.0
2227.0,22.0,24.0,28.0,2156.0
2228.0,22.0,24.0,27.0,2152.0
2229.0,21.0,23.0,27.0,2147.0
2230.0,22.0,24.0,28.0,2142.0
2230.0,22.0,24.0,28.0,2137.0
2231.0,22.0,24.0,28.0,2132.0
2232.0,22.0,24.0,28.0,2127.0
2232.0,22.0,24.0,28.0,2123.0
2232.0,23.0,25.0,29.0,2118.0
2231.0,22.0,24.0,28.0,2112.0
2230.0,22.0,24.0,27.0,2106.0
2230.0,21.0,23.0,27.0,2101.0
2228.0,21.0,24.0,27.0,2095.0
2228.0,23.0,25.0,30.0,2090.0
2226.0,22.0,24.0,28.0,2083.0
2225.0,22.0,24.0,27.0,2077.0
2223.0,22.0,24.0,28.0,2071.0
2221.0,22.0,24.0,28.0,2066.0
2219.0,22.0,24.0,27.0,2060.0
2217.0,22.0,24.0,28.0,2054.0
2216.0,22.0,24.0,28.0,2050.0
2212.0,22.0,24.0,28.0,2044.0
2210.0,21.0,23.0,27.0,2039.0
2207.0,22.0,24.0,27.0,2032.0
2205.0,22.0,23.0,28.0,2028.0
2201.0,22.0,23.0,27.0,2021.0
2198.0,22.0,24.0,28.0,2014.0
2196.0,22.0,23.0,28.0,2009.0
2191.0,22.0,24.0,28.0,2003.0
2186.0,22.0,23.0,27.0,1997.0
2184.0,22.0,24.0,29.0,1992.0
2180.0,22.0,24.0,28.0,1986.0
2176.0,22.0,24.0,28.0,1981.0
2171.0,22.0,24.0,28.0,1975.0
2167.0,22.0,24.0,28.0,1969.0
2162.0,22.0,24.0,27.0,1964.0
2158.0,22.0,24.0,28.0,1960.0
2153.0,22.0,24.0,29.0,1955.0
2148.0,22.0,24.0,28.0,1951.0
2144.0,22.0,24.0,28.0,1947.0
2138.0,23.0,24.0,29.0,1942.0
2133.0,22.0,24.0,28.0,1938.0
2129.0,23.0,24.0,29.0,1935.0
2122.0,23.0,24.0,28.0,1929.0
2117.0,22.0,24.0,28.0,1925.0
2112.0,22.0,24.0,28.0,1922.0
2107.0,22.0,23.0,28.0,1917.0
2101.0,22.0,24.0,28.0,1913.0
2096.0,22.0,24.0,28.0,1911.0
2089.0,21.0,24.0,27.0,1906.0
2084.0,22.0,24.0,28.0,1904.0
2079.0,21.0,23.0,27.0,1902.0
2073.0,22.0,24.0,28.0,1899.0
2066.0,22.0,24.0,28.0,1894.0
2067.0,21.0,23.0,27.0,1898.0
2055.0,21.0,23.0,27.0,1890.0
2049.0,20.0,22.0,25.0,1886.0
2042.0,21.0,23.0,26.0,1884.0
2036.0,21.0,23.0,26.0,1881.0
2031.0,20.0,22.0,25.0,1880.0
2025.0,20.0,22.0,25.0,1880.0
2018.0,20.0,22.0,25.0,1878.0
2013.0,22.0,24.0,27.0,1877.0
2008.0,22.0,23.0,27.0,1876.0
2002.0,21.0,23.0,27.0,1876.0
1997.0,21.0,23.0,27.0,1875.0
1992.0,22.0,24.0,28.0,1876.0
1986.0,22.0,24.0,28.0,1875.0
1982.0,22.0,24.0,28.0,1877.0
1975.0,22.0,24.0,27.0,1876.0
1970.0,21.0,23.0,27.0,1876.0
1965.0,22.0,24.0,28.0,1877.0
1961.0,22.0,24.0,27.0,1879.0
1955.0,22.0,24.0,27.0,1879.0
1950.0,22.0,24.0,28.0,1880.0
1945.0,22.0,24.0,27.0,1882.0
1941.0,22.0,23.0,27.0,1884.0
1937.0,21.0,23.0,27.0,1885.0
1933.0,21.0,23.0,27.0,1887.0
1929.0,21.0,24.0,27.0,1889.0
1923.0,20.0,22.0,25.0,1891.0
1920.0,21.0,23.0,26.0,1894.0
1915.0,21.0,23.0,27.0,1895.0
1909.0,21.0,23.0,26.0,1895.0
1909.0,21.0,23.0,27.0,1903.0
1905.0,20.0,22.0,25.0,1905.0
1902.0,21.0,23.0,26.0,1908.0
1899.0,21.0,23.0,26.0,1911.0
1896.0,21.0,23.0,27.0,1916.0
1895.0,20.0,23.0,26.0,1920.0
1892.0,21.0,23.0,26.0,1924.0
1888.0,20.0,22.0,25.0,1927.0
1888.0,21.0,23.0,26.0,1934.0
1885.0,21.0,23.0,26.0,1937.0
1882.0,20.0,22.0,25.0,1940.0
1882.0,21.0,23.0,26.0,1946.0
1881.0,21.0,23.0,26.0,1951.0
1879.0,20.0,22.0,26.0,1956.0
1878.0,21.0,22.0,26.0,1960.0
1877.0,20.0,22.0,26.0,1965.0
1876.0,20.0,22.0,25.0,1970.0
1875.0,21.0,23.0,26.0,1974.0
1875.0,21.0,23.0,27.0,1980.0
1875.0,21.0,23.0,26.0,1984.0
1875.0,21.0,23.0,26.0,1991.0
1875.0,19.0,22.0,24.0,1995.0
1877.0,21.0,23.0,26.0,2002.0
1875.0,21.0,23.0,27.0,2006.0
1877.0,21.0,23.0,26.0,2013.0
1877.0,21.0,23.0,26.0,2017.0
1879.0,21.0,23.0,26.0,2024.0
1880.0,21.0,23.0,27.0,2029.0
1882.0,21.0,23.0,27.0,2035.0
1883.0,21.0,23.0,26.0,2041.0
1885.0,21.0,23.0,26.0,2047.0
1887.0,20.0,23.0,26.0,2053.0
1889.0,21.0,23.0,26.0,2059.0
1892.0,21.0,23.0,26.0,2065.0
1895.0,21.0,23.0,26.0,2072.0
1897.0,21.0,23.0,26.0,2077.0
1899.0,21.0,23.0,26.0,2082.0
1902.0,21.0,23.0,27.0,2088.0
1906.0,21.0,23.0,26.0,2094.0
1909.0,21.0,23.0,26.0,2099.0
1910.0,20.0,22.0,25.0,2102.0
1916.0,21.0,23.0,26.0,2110.0
1919.0,21.0,23.0,27.0,2115.0
1923.0,21.0,23.0,26.0,2120.0
1927.0,21.0,23.0,26.0,2126.0
1932.0,21.0,23.0,26.0,2132.0
1936.0,20.0,22.0,25.0,2136.0
1941.0,21.0,23.0,26.0,2143.0
1945.0,20.0,22.0,26.0,2148.0
1949.0,21.0,23.0,26.0,2152.0
1954.0,20.0,22.0,25.0,2157.0
1959.0,20.0,22.0,25.0,2162.0
1963.0,21.0,22.0,25.0,2167.0
1967.0,20.0,22.0,25.0,2170.0
1974.0,21.0,23.0,27.0,2177.0
1979.0,20.0,22.0,25.0,2181.0
1984.0,20.0,22.0,25.0,2184.0
1989.0,20.0,22.0,25.0,2189.0
1994.0,20.0,22.0,25.0,2193.0
1999.0,20.0,22.0,25.0,2197.0
2004.0,20.0,22.0,25.0,2199.0
2010.0,20.0,22.0,24.0,2204.0
2016.0,20.0,22.0,25.0,2207.0
2021.0,20.0,22.0,24.0,2210.0
2027.0,20.0,22.0,24.0,2214.0
2033.0,20.0,22.0,24.0,2216.0
2040.0,19.0,21.0,24.0,2220.0
2045.0,20.0,21.0,24.0,2222.0
2051.0,20.0,22.0,25.0,2224.0
2057.0,20.0,22.0,25.0,2227.0
2063.0,19.0,21.0,23.0,2230.0
2067.0,19.0,21.0,24.0,2230.0
2072.0,19.0,21.0,23.0,2232.0
2078.0,20.0,22.0,25.0,2234.0
2084.0,20.0,22.0,24.0,2236.0
2090.0,19.0,21.0,23.0,2236.0
2096.0,19.0,21.0,23.0,2238.0
2102.0,20.0,21.0,24.0,2238.0
2106.0,19.0,21.0,24.0,2238.0
2113.0,20.0,21.0,24.0,2239.0
2118.0,19.0,21.0,24.0,2240.0
2123.0,20.0,22.0,25.0,2240.0
2128.0,20.0,22.0,24.0,2240.0
2134.0,19.0,22.0,24.0,2240.0
2139.0,20.0,21.0,24.0,2240.0
2143.0,19.0,21.0,24.0,2239.0
2148.0,20.0,22.0,24.0,2239.0
2153.0,19.0,21.0,23.0,2237.0
2158.0,19.0,21.0,24.0,2237.0
2163.0,19.0,21.0,23.0,2235.0
2168.0,19.0,21.0,23.0,2233.0
2172.0,20.0,22.0,24.0,2232.0
2176.0,19.0,21.0,23.0,2230.0
2180.0,19.0,21.0,24.0,2229.0
2184.0,19.0,21.0,23.0,2226.0
2188.0,18.0,20.0,22.0,2223.0
2194.0,19.0,21.0,23.0,2222.0
2196.0,19.0,21.0,23.0,2219.0
2199.0,18.0,21.0,23.0,2215.0
2203.0,18.0,20.0,22.0,2212.0
2207.0,19.0,21.0,24.0,2210.0
2209.0,18.0,21.0,22.0,2207.0
2212.0,19.0,21.0,23.0,2204.0
2216.0,18.0,20.0,23.0,2201.0
2218.0,19.0,21.0,23.0,2196.0
2220.0,19.0,21.0,23.0,2192.0
2222.0,18.0,21.0,23.0,2187.0
2225.0,19.0,21.0,23.0,2182.0
2227.0,19.0,21.0,23.0,2178.0
2229.0,18.0,20.0,22.0,2172.0
2231.0,18.0,21.0,23.0,2168.0
2231.0,19.0,21.0,23.0,2163.0
2234.0,19.0,21.0,24.0,2160.0
2236.0,19.0,21.0,23.0,2156.0
2235.0,19.0,21.0,23.0,2150.0
2236.0,18.0,20.0,22.0,2146.0
2236.0,19.0,21.0,23.0,2140.0
2237.0,19.0,21.0,23.0,2135.0
2238.0,19.0,21.0,23.0,2130.0
2237.0,19.0,21.0,23.0,2123.0
2237.0,18.0,20.0,22.0,2118.0
2236.0,18.0,20.0,23.0,2112.0
2237.0,19.0,21.0,23.0,2107.0
2235.0,19.0,21.0,23.0,2100.0
2235.0,19.0,21.0,23.0,2095.0
2233.0,18.0,20.0,22.0,2088.0
2232.0,18.0,20.0,23.0,2082.0
2231.0,19.0,21.0,23.0,2077.0
2228.0,18.0,20.0,22.0,2070.0
2226.0,18.0,20.0,22.0,2064.0
2222.0,18.0,20.0,22.0,2057.0
2222.0,18.0,20.0,23.0,2052.0
2220.0,19.0,21.0,23.0,2046.0
2218.0,18.0,21.0,23.0,2039.0
2215.0,18.0,20.0,22.0,2033.0
2211.0,19.0,21.0,23.0,2027.0
2208.0,19.0,21.0,24.0,2022.0
2204.0,19.0,21.0,23.0,2015.0
2202.0,18.0,20.0,22.0,2009.0
2197.0,19.0,21.0,23.0,2003.0
2193.0,19.0,21.0,23.0,1996.0
2189.0,18.0,20.0,22.0,1990.0
2186.0,19.0,21.0,24.0,1985.0
2181.0,19.0,21.0,23.0,1978.0
2176.0,19.0,21.0,23.0,1973.0
2172.0,19.0,21.0,23.0,1967.0
2166.0,18.0,20.0,22.0,1961.0
2162.0,18.0,20.0,22.0,1956.0
2158.0,19.0,21.0,23.0,1952.0
2153.0,18.0,20.0,23.0,1948.0
2149.0,19.0,21.0,23.0,1943.0
2143.0,19.0,21.0,23.0,1939.0
2137.0,18.0,20.0,22.0,1932.0
2132.0,19.0,21.0,23.0,1929.0
2127.0,18.0,20.0,22.0,1926.0
2121.0,18.0,21.0,23.0,1921.0
2115.0,18.0,20.0,21.0,1916.0
2109.0,18.0,20.0,21.0,1912.0
2104.0,18.0,20.0,22.0,1909.0
2098.0,18.0,20.0,22.0,1904.0
2092.0,18.0,20.0,21.0,1901.0
2087.0,18.0,20.0,22.0,1898.0
2081.0,18.0,20.0,22.0,1894.0
2075.0,17.0,19.0,21.0,1891.0
2069.0,17.0,20.0,21.0,1888.0
2063.0,18.0,20.0,21.0,1886.0
2056.0,18.0,20.0,22.0,1883.0
2051.0,18.0,20.0,22.0,1881.0
2044.0,18.0,20.0,22.0,1878.0
2039.0,18.0,21.0,23.0,1878.0
2032.0,18.0,21.0,22.0,1876.0
2026.0,18.0,21.0,23.0,1874.0
2021.0,19.0,21.0,23.0,1873.0
2016.0,19.0,21.0,23.0,1872.0
2009.0,19.0,21.0,23.0,1870.0
2003.0,20.0,22.0,24.0,1869.0
1998.0,19.0,22.0,24.0,1869.0
1992.0,19.0,21.0,24.0,1868.0
1987.0,20.0,21.0,24.0,1869.0
1981.0,19.0,21.0,24.0,1868.0
1976.0,20.0,22.0,25.0,1869.0
1971.0,20.0,22.0,24.0,1870.0
1965.0,19.0,21.0,24.0,1870.0
1960.0,19.0,21.0,24.0,1871.0
1957.0,20.0,22.0,25.0,1873.0
1950.0,20.0,22.0,25.0,1874.0
1945.0,20.0,22.0,24.0,1875.0
1941.0,20.0,22.0,25.0,1876.0
1936.0,19.0,21.0,24.0,1877.0
1931.0,21.0,22.0,25.0,1879.0
1926.0,20.0,22.0,25.0,1880.0
1924.0,20.0,22.0,25.0,1884.0
1920.0,20.0,22.0,25.0,1887.0
1916.0,20.0,22.0,25.0,1890.0
1912.0,21.0,23.0,26.0,1894.0
1910.0,21.0,23.0,26.0,1898.0
1906.0,21.0,22.0,26.0,1900.0
1903.0,21.0,23.0,26.0,1903.0
1900.0,21.0,23.0,27.0,1907.0
1898.0,22.0,24.0,28.0,1911.0
1896.0,22.0,24.0,28.0,1915.0
1893.0,21.0,23.0,27.0,1919.0
1890.0,22.0,24.0,27.0,1922.0
1888.0,22.0,23.0,27.0,1927.0
1885.0,22.0,24.0,28.0,1930.0
1888.0,22.0,24.0,27.0,1939.0
1882.0,21.0,23.0,27.0,1940.0
1881.0,21.0,23.0,26.0,1944.0
1879.0,21.0,23.0,26.0,1948.0
1878.0,21.0,23.0,26.0,1952.0
1877.0,21.0,23.0,26.0,1958.0
1877.0,21.0,23.0,27.0,1964.0
1876.0,21.0,23.0,27.0,1968.0
1876.0,20.0,22.0,26.0,1974.0
1876.0,21.0,23.0,26.0,1979.0
1876.0,21.0,23.0,26.0,1984.0
1875.0,20.0,22.0,26.0,1988.0
1877.0,21.0,23.0,26.0,1995.0
1876.0,20.0,22.0,25.0,2000.0
1878.0,21.0,23.0,26.0,2006.0
1879.0,20.0,22.0,25.0,2011.0
1881.0,20.0,22.0,25.0,2017.0
1882.0,20.0,22.0,26.0,2023.0
1883.0,21.0,23.0,26.0,2028.0
1883.0,21.0,22.0,26.0,2032.0
1886.0,21.0,23.0,26.0,2038.0
1888.0,20.0,22.0,25.0,2044.0
1890.0,20.0,23.0,25.0,2051.0
1892.0,20.0,22.0,25.0,2055.0
1895.0,21.0,23.0,26.0,2062.0
1898.0,21.0,22.0,26.0,2068.0
1902.0,21.0,22.0,26.0,2075.0
1904.0,21.0,23.0,26.0,2080.0
1907.0,21.0,23.0,26.0,2085.0
1911.0,21.0,23.0,26.0,2090.0
1913.0,21.0,23.0,26.0,2096.0
1917.0,20.0,22.0,26.0,2101.0
1920.0,20.0,22.0,25.0,2106.0
1923.0,20.0,22.0,25.0,2111.0
1929.0,21.0,23.0,26.0,2117.0
1933.0,21.0,22.0,26.0,2123.0
1937.0,21.0,22.0,26.0,2126.0
1941.0,20.0,22.0,25.0,2131.0
1945.0,21.0,23.0,26.0,2136.0
1950.0,20.0,22.0,26.0,2141.0
1954.0,20.0,22.0,25.0,2145.0
1958.0,20.0,22.0,25.0,2149.0
1964.0,20.0,22.0,25.0,2155.0
1968.0,21.0,23.0,26.0,2158.0
1973.0,21.0,23.0,27.0,2162.0
1978.0,21.0,23.0,26.0,2167.0
1982.0,21.0,22.0,26.0,2171.0
1987.0,20.0,22.0,25.0,2175.0
1992.0,21.0,23.0,26.0,2179.0
1999.0,21.0,23.0,27.0,2184.0
2003.0,21.0,23.0,26.0,2186.0
2009.0,20.0,22.0,25.0,2190.0
2014.0,20.0,22.0,25.0,2192.0
2019.0,21.0,23.0,26.0,2195.0
2025.0,21.0,22.0,26.0,2198.0
2029.0,21.0,23.0,26.0,2200.0
2035.0,20.0,22.0,25.0,2203.0
2040.0,20.0,22.0,25.0,2205.0
2047.0,21.0,23.0,25.0,2208.0
2053.0,20.0,22.0,25.0,2211.0
2057.0,20.0,22.0,25.0,2212.0
2062.0,20.0,22.0,25.0,2213.0
2068.0,20.0,22.0,25.0,2215.0
2074.0,20.0,22.0,25.0,2217.0
2080.0,20.0,22.0,25.0,2219.0
2085.0,20.0,22.0,25.0,2219.0
2090.0,20.0,22.0,25.0,2221.0
2092.0,19.0,21.0,24.0,2217.0
2101.0,21.0,22.0,26.0,2222.0
2106.0,20.0,22.0,25.0,2222.0
2111.0,20.0,22.0,25.0,2223.0
2116.0,20.0,22.0,25.0,2223.0
2121.0,20.0,22.0,24.0,2223.0
